S.No.,Company Name,Technical Analysis,Technical Analysis_2,Technical Analysis_3,,CMP Rs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE %,EPS AnnRs.,EPS Var 5Yrs%,Ticker (NSE),Ticker symbols_2,Rev Avg Est (INR Mn),Rev Growth%,EPS Analysts,EPS Avg Est,EPS Growth%,Price High,High % Change,Price Avg,Avg % Change,Price Low,Low % Change,Price Analysts,F-Score,Z-Score,M-Score,_fetched_at
2,Esab India,,,,,5531,43.51,8513.88,1.18,43,29.62,378.83,12.25,70.03,113.96,19.74,ESABINDIA.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,20.49,-5.1,2026-04-10 16:11:56
9,Gillette India,,,,,8553,44.92,27874.23,1.4,172.46,36.91,790,15.24,56.06,128.17,10.45,GILLETTE.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,20.72,-5.05,2026-04-10 16:11:56
18,Nippon Life Ind.,,,,,912.4,40.28,58128.25,1.97,403.9,36.75,705.28,19.97,40.69,20.27,24.47,NAM.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-10 16:11:56
28,Astrazeneca Phar,,,,,8919,107.18,22297.5,0.36,32.59,-42.3,611.57,38.9,33.4,46.3,19.45,ASTRAZEN.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,18.86,-5.27,2026-04-10 16:11:56
32,Foseco India,YES,NO,YES,Under Observation,4780.8,43.65,3603.41,0.52,16.49,3.5,150.72,7.08,31.34,114.35,16.32,FOSECOIND.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,9.76,-5.11,2026-04-10 16:11:56
50,Vimta Labs,,,,,467.6,27.51,2087.14,0.21,17.59,6.91,98.63,9.69,25.22,15.13,57.82,VIMTALABS.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,14.6,-4.94,2026-04-10 16:11:56
57,Thejo Engg.,,,,,1708.3,36.71,1853.02,0.29,8.39,-18.39,162.25,19.67,22.1,46,13.49,THEJO.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10.21,-5.12,2026-04-10 16:11:56
80,Cantabil Retail,,,,,305.15,28.67,2552.21,0.33,45.09,31.11,264.44,18.8,18.17,8.95,34.7,CANTABIL.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3.41,-4.85,2026-04-10 16:11:56
83,Insecticid.India,,,,,611.2,12.56,1778.46,0.33,10.49,-39.61,384.92,7.61,17.41,48.81,11.63,INSECTICID.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2.68,-5.45,2026-04-10 16:11:56
86,Windlas Biotech,,,,,804.9,25.42,1696.51,0.72,15,-3.72,233.1,19.53,16.96,29.1,2.83,WINDLAS.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4.99,-5.16,2026-04-10 16:11:56
88,Mah. Seamless,SSF,MACD,RSI,,536.2,8.55,7184.63,1.86,242.65,30.52,1090.29,-22.57,16.63,58.03,36.47,MAHSEAMLES.NS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,7.49,-5.48,2026-04-10 16:11:56
95,eMudhra,NO,NO,NO,,485.8,39.16,4022.99,0.26,29,36.72,188.01,35.41,15.32,10.22,33.93,EMUDHRA.NS,EMUDHRA.NS,7115,34.32,1,13.1,36.64,918,88.97,918,88.97,918,88.97,1,5,17.92,-4.98,2026-04-10 16:11:56
94,La Opala RG,NO,NO,NO,,197.5,21.24,2192.25,3.8,24,9.54,84.5,-7.45,15.43,8.7,2.25,LAOPALA.NS,LAOPALA.NS,3648.5,17.61,2,10.4,20.67,357,80.76,333.5,68.86,310,56.96,2,5,17.46,-5.34,2026-04-10 16:11:56
89,Techno Elec.Engg,YES,NO,YES,Under Observation for Buy,1048.8,26.02,12197.5,0.86,119.25,24.23,872.2,37.12,16.54,36.37,17.53,TECHNOE.NS,TECHNOE.NS,35034,25.55,2,44.2,27.6,1700,62.09,1650,57.32,1600,52.56,2,5,6.47,-4.96,2026-04-10 16:11:56
19,Oracle Fin.Serv.,NO,NO,NO,,6639,23.66,57773.59,3.99,609.6,12.62,1965.9,14.62,40.6,273.95,9.98,OFSS.NS,OFSS.NS,75825,9.84,1,283.6,13.96,9800,47.61,9800,47.61,9800,47.61,1,6,21.53,-5.38,2026-04-10 16:11:56
56,R Systems Intl.,NO,NO,NO,,320.45,18.66,3796.18,3.9,36.41,39.26,555.11,23.64,22.85,15.73,19.8,RSYSTEMS.NS,RSYSTEMS.NS,25221.67,11.53,3,18.66667,16.61,501,56.34,500,56.03,460,43.55,3,5,3.77,-5.18,2026-04-10 16:11:56
48,Shivalik Bimetal,NO,NO,YES,,512.85,32.27,2954.23,0.53,22.18,25.38,134.23,8.88,25.57,13.38,42.17,SBCL.NS,SBCL.NS,5501,20.92,1,16.8,25,734,43.12,734,43.12,734,43.12,1,5,15.66,-5.2,2026-04-10 16:11:56
