ticker,instrument_key
0IRFC35.NS,NSE_EQ|INE053F08536
0MOFSL26.NS,NSE_EQ|INE338I07156
0MOFSL27.NS,NSE_EQ|INE338I07099
0NHIT34.NS,NSE_EQ|INE0H7R07066
0NHIT35.NS,NSE_EQ|INE0H7R07058
0RL34.NS,NSE_EQ|INE020B08FJ3
0SCL26.NS,NSE_EQ|INE148I07SF0
0SCL27.NS,NSE_EQ|INE148I07SK0
1003IIFL29.NS,NSE_EQ|INE413U07301
1003ISFL28.NS,NSE_EQ|INE413U07269
1003SCFL31.NS,NSE_EQ|INE148I07SX3
1003SCL30.NS,NSE_EQ|INE148I07PN0
1003SCL30A.NS,NSE_EQ|INE148I07QX7
1003SCL31.NS,NSE_EQ|INE148I07TW3
1003SCL31A.NS,NSE_EQ|INE148I07UR1
1003SCL31P.NS,NSE_EQ|INE148I07VA5
1003SCL32.NS,NSE_EQ|INE148I07WM8
1003SFIL28.NS,NSE_EQ|INE244L07556
10157PCP27.NS,NSE_EQ|INE389Z07054
1015ECL29.NS,NSE_EQ|INE804IA7014
1015SCFL29.NS,NSE_EQ|INE148I07SS3
1015SCL28.NS,NSE_EQ|INE148I07QR9
1015SCL28A.NS,NSE_EQ|INE148I07OH5
1015SCL28B.NS,NSE_EQ|INE148I07OW4
1015SCL29.NS,NSE_EQ|INE148I07TR3
1015SCL29B.NS,NSE_EQ|INE148I07UK6
1015SCL29T.NS,NSE_EQ|INE148I07VO6
1015SCL30.NS,NSE_EQ|INE148I07WT3
1015UCL26.NS,NSE_EQ|INE583D07505
1015UCL27.NS,NSE_EQ|INE583D07604
1018GS2026.NS,NSE_EQ|IN0020010081
1020CCSP27.NS,NSE_EQ|INE157D07EJ4
1025IIFL30.NS,NSE_EQ|INE530B07492
1025PATE28.NS,NSE_EQ|INE244B07243
1025SCFL34.NS,NSE_EQ|INE148I07SV7
1025SCL33.NS,NSE_EQ|INE148I07RV9
1025SCL33A.NS,NSE_EQ|INE148I07PP5
1025SCL34.NS,NSE_EQ|INE148I07SQ7
1025SCL34A.NS,NSE_EQ|INE148I07TN2
1025SCL34B.NS,NSE_EQ|INE148I07UV3
1025SCL34C.NS,NSE_EQ|INE148I07UT7
1025SCL34U.NS,NSE_EQ|INE148I07VM0
1025SCL34Z.NS,NSE_EQ|INE148I07VI8
1025SCL35.NS,NSE_EQ|INE148I07WS5
1025SCL35A.NS,NSE_EQ|INE148I07VZ2
1025SFIL26.NS,NSE_EQ|INE244L07507
1025UCL26A.NS,NSE_EQ|INE583D07521
1025UCL27A.NS,NSE_EQ|INE583D07588
1025VCCL28.NS,NSE_EQ|INE04HY07294
102CCSP27A.NS,NSE_EQ|INE157D07EK2
1030SFIL28.NS,NSE_EQ|INE244L07283
1035CCSP26.NS,NSE_EQ|INE157D07EH8
1035CCSP27.NS,NSE_EQ|INE157D07EI6
1039UCL26.NS,NSE_EQ|INE583D07570
1040NFL26.NS,NSE_EQ|INE342T07437
1040UCL27B.NS,NSE_EQ|INE583D07513
1048IIFL27.NS,NSE_EQ|INE413U08119
1050IIFL29.NS,NSE_EQ|INE413U07319
1050ISFL28.NS,NSE_EQ|INE413U07251
1050NFL26.NS,NSE_EQ|INE342T07387
1050SCFL31.NS,NSE_EQ|INE148I07SM6
1050SCL30.NS,NSE_EQ|INE148I07QV1
1050SCL31.NS,NSE_EQ|INE148I07TK8
1050SCL31A.NS,NSE_EQ|INE148I07UP5
1050SCL31T.NS,NSE_EQ|INE148I07VD9
1050SCL32.NS,NSE_EQ|INE148I07WX5
1050SFIL28.NS,NSE_EQ|INE244L07531
1050UCL28.NS,NSE_EQ|INE583D07596
105IIFL29.NS,NSE_EQ|INE866I08295
105UCL2026.NS,NSE_EQ|INE583D07463
1060ECL29.NS,NSE_EQ|INE804IA7022
1065NFL27.NS,NSE_EQ|INE342T07460
1075SCFL34.NS,NSE_EQ|INE148I07SR5
1075SCL33.NS,NSE_EQ|INE148I07RW7
1075SCL33A.NS,NSE_EQ|INE148I07PT7
1075SCL33B.NS,NSE_EQ|INE148I07QY5
1075SCL34.NS,NSE_EQ|INE148I07TP7
1075SCL34C.NS,NSE_EQ|INE148I07UW1
1075SCL34T.NS,NSE_EQ|INE148I07VE7
1075SCL35.NS,NSE_EQ|INE148I07WR7
1075WCA28.NS,NSE_EQ|INE0A3007065
1075WCAP28.NS,NSE_EQ|INE0A3007057
1077IIFL30.NS,NSE_EQ|INE413U08127
1090NFL26.NS,NSE_EQ|INE342T07452
1096GIPL28.NS,NSE_EQ|INE1BEC08019
10CAGL27.NS,NSE_EQ|INE741K07496
10IFSL26.NS,NSE_EQ|INE321N07293
10IIFL26.NS,NSE_EQ|INE413U08135
10IIFL28.NS,NSE_EQ|INE477L08147
10IIFL28A.NS,NSE_EQ|INE530B08094
10IIFL29.NS,NSE_EQ|INE866I08279
10IIFLSF27.NS,NSE_EQ|INE413U07293
10ISFL26.NS,NSE_EQ|INE413U07277
10NIDO26.NS,NSE_EQ|INE530L07228
10SCL30A.NS,NSE_EQ|INE148I07PO8
10SCL31.NS,NSE_EQ|INE148I07SU9
10SCL31A.NS,NSE_EQ|INE148I07TO0
10UCL26.NS,NSE_EQ|INE583D07562
1102NFL26.NS,NSE_EQ|INE342T07403
1119NFL27.NS,NSE_EQ|INE342T07445
111ESFB31.NS,NSE_EQ|INE818W08131
1125VCCL27.NS,NSE_EQ|INE04HY07351
113ESFB31.NS,NSE_EQ|INE818W08149
113ESFB31B.NS,NSE_EQ|INE818W08156
1150AFIL28.NS,NSE_EQ|INE916Y07065
1150AFIL29.NS,NSE_EQ|INE916Y07073
115VCCL27.NS,NSE_EQ|INE04HY07286
115VCCL28.NS,NSE_EQ|INE04HY07377
115VCCL28A.NS,NSE_EQ|INE04HY07385
1165ESFB32.NS,NSE_EQ|INE818W08164
116VCCL26.NS,NSE_EQ|INE04HY07195
116VCCL26A.NS,NSE_EQ|INE04HY07260
116VCCL27.NS,NSE_EQ|INE04HY07310
116VCCL27A.NS,NSE_EQ|INE04HY07328
1175IFL28.NS,NSE_EQ|INE01XO07033
1180IFL28.NS,NSE_EQ|INE01XO07041
1180VCCL26.NS,NSE_EQ|INE04HY07187
118VCCL27.NS,NSE_EQ|INE04HY07245
118VCCL27A.NS,NSE_EQ|INE04HY07302
118VCCL27B.NS,NSE_EQ|INE04HY07336
1190VCCL26.NS,NSE_EQ|INE04HY07120
119VCCL26.NS,NSE_EQ|INE04HY07146
11UCL26.NS,NSE_EQ|INE583D07455
11VCCL27.NS,NSE_EQ|INE04HY07369
1215DHPL27.NS,NSE_EQ|INE835I08019
1225DCCL27.NS,NSE_EQ|INE04Q907108
1225IFL27.NS,NSE_EQ|INE01XO07017
1225IFL28.NS,NSE_EQ|INE01XO07025
125VCCL31.NS,NSE_EQ|INE04HY08011
